분짜라붐 수원영통점,무관,"월급 2,500,000원","서빙, 주방장·조리사, 매장관리·판매, ","경기 수원시 영통구 청명남로 25 (영통동) 103,207호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60201143&mj_stat=0&optgf=
㈜ H . K 컴 퍼 니,무관,"월급 2,500,000원","제조·가공·조립, 생산·건설·노무 기타, ",경기 수원시 권선구 덕영대로 1093 (세류동) 가림빌딩 902호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60259485&mj_stat=0&optgf=
HS (한산),여자,"월급 3,500,000원","바(bar), ","경기 화성시 동탄중심상가1길 31 (반송동, 광장타워) 404-1호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60243476&mj_stat=0&optgf=
영통 칸지고고,무관,"월급 2,300,000원","레스토랑, 서빙, ",경기 수원시 영통구 영통동 958-3 번지 하우스토리 101호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60232426&mj_stat=0&optgf=
TONY PC,무관,"시급 7,530원","PC방, ","경기 수원시 영통구 청명로 7 (영통동, 청명타운텔) 지하1층 TONY PC",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60163527&mj_stat=0&optgf=
휴먼스토리㈜,무관,"시급 9,800원","일반음식점, 주방장·조리사, 급식·푸드시스템, ",경기도 화성시 반월동,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60279812&mj_stat=0&optgf=
분짜라붐 수원영통점,무관,"월급 2,500,000원","서빙, 주방장·조리사, 매장관리·판매, ","경기 수원시 영통구 청명남로 25 (영통동) 103,207호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60201143&mj_stat=0&optgf=
㈜ H . K 컴 퍼 니,무관,"월급 2,500,000원","제조·가공·조립, 생산·건설·노무 기타, ",경기 수원시 권선구 덕영대로 1093 (세류동) 가림빌딩 902호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60259485&mj_stat=0&optgf=
HS (한산),여자,"월급 3,500,000원","바(bar), ","경기 화성시 동탄중심상가1길 31 (반송동, 광장타워) 404-1호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60243476&mj_stat=0&optgf=
영통 칸지고고,무관,"월급 2,300,000원","레스토랑, 서빙, ",경기 수원시 영통구 영통동 958-3 번지 하우스토리 101호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60232426&mj_stat=0&optgf=
TONY PC,무관,"시급 7,530원","PC방, ","경기 수원시 영통구 청명로 7 (영통동, 청명타운텔) 지하1층 TONY PC",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60163527&mj_stat=0&optgf=
휴먼스토리㈜,무관,"시급 9,800원","일반음식점, 주방장·조리사, 급식·푸드시스템, ",경기도 화성시 반월동,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60279812&mj_stat=0&optgf=
엠코드학원,무관,"시급 9,000원","입시·보습학원, 보조교사, ",경기 수원시 영통구 영통동 609호-614호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60246733&mj_stat=0&optgf=
스킨앤바디케어,여자,"월급 3,500,000원","피부관리·마사지, 서비스 기타, 피트니스·스포츠, ",경기 수원시 영통구 영통동 1009-6 매직프라자,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60290170&mj_stat=0&optgf=
못된고양이 영통역점,여자,"월급 2,000,000원","의류·잡화매장, 유통·판매 기타, ","경기 수원시 영통구 청명남로34번길 3 (영통동, 플래티넘빌딩) 106호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60265901&mj_stat=0&optgf=
큐브,여자,"월급 5,000,000원","바(bar), ","경기 수원시 영통구 매탄로100번길 29 (매탄동, 국제프라자) 6층 601호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60237798&mj_stat=0&optgf=
맘스터치 신영통점,무관,"시급 7,900원","패스트푸드점, 캐셔·카운터, 주방장·조리사, ","경기 수원시 영통구 영통로 136 (망포동, 센트럴타워) 107호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60280089&mj_stat=0&optgf=
㈜에이스컴퍼니,무관,"월급 2,800,000원","제조·가공·조립, 포장·품질검사, 생산·건설·노무 기타, ","경기 수원시 영통구 덕영대로 1520 (영통동, 망포역) 5번출구 도보 2분거리",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60280040&mj_stat=0&optgf=
더스타,여자,"월급 4,500,000원","바(bar), ","경기 수원시 영통구 청명남로 30 (영통동, 거성빌딩) 602호 더스타",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60278738&mj_stat=0&optgf=
헤어다이아,무관,"월급 2,200,000원","헤어·미용·네일샵, 매장관리·판매, 캐셔·카운터, ",경기 수원시 영통구 영통동 959-4 다모아프라자 2층 헤어다이아,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60278525&mj_stat=0&optgf=
롯데홈쇼핑(월500만원/초보가능),무관,"월급 5,000,000원","택배·퀵서비스, 제조·가공·조립, 대리운전·일반운전, ",경기도 수원시 영통구 근무자 거주지 인근배치,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60267243&mj_stat=0&optgf=
BAR-NANA,여자,"시급 30,000원","바(bar), ",경기 화성시 역골로49번길 13-1 (남양리) 102호 BAR NANA,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60258151&mj_stat=0&optgf=
월190만원/삼성전자프로젝트/영어사용가능자,무관,"월급 1,900,000원","외국어·어학원, 문서작성·자료조사, 사무보조, ","경기 수원시 영통구 덕영대로1556번길 16 (영통동, 디지털엠파이어빌딩) 삼성전자 PJT",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60139585&mj_stat=0&optgf=
연안식당 영통역점,무관,"월급 2,200,000원","일반음식점, 서빙, 주방보조·설거지, ","경기 수원시 영통구 봉영로 1590 (영통동, 밀레니엄프라자) 119호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60268568&mj_stat=0&optgf=
아제커뮤니케이션,여자,"일급 100,000원","유통점·마트, 판촉도우미, ","경기 수원시 영통구 봉영로 1576 (영통동, 영통홈플러스) 홈플러스 가전매장",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60267132&mj_stat=0&optgf=
크린서비스,무관,"월급 2,000,000원","보안·경비·경호, ","경기 수원시 영통구 봉영로 1620 (영통동, 대우월드마크영통)",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60266511&mj_stat=0&optgf=
㈜리스펙에스씨,무관,"월급 1,830,000원","매장관리·판매, 의류·잡화매장, ","경기 수원시 영통구 봉영로 1617 (영통동, 훼미리타워) 958-2   1층STCO",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60259920&mj_stat=0&optgf=
커피빈코리아(본사정규직),무관,"월급 1,430,000원","커피전문점, 바리스타, 베이커리·도넛·떡, ","경기 수원시 영통구 봉영로 1560 (영통동, 영통역) / 거주지인근 커피빈코리아 매장 발령[수도권 전역 매장]",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60254956&mj_stat=0&optgf=
뷰 (모던bar),여자,"월급 3,200,000원","바(bar), ","경기 수원시 영통구 청명남로 32 (영통동, 월드프라자)401호 뷰",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60237018&mj_stat=0&optgf=
큐브,여자,"월급 5,000,000원","바(bar), ","경기 수원시 영통구 매탄로100번길 29 (매탄동, 국제프라자) 6층 601호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60147409&mj_stat=0&optgf=
애슐리 수원망포점,무관,"시급 7,530원","패밀리레스토랑, 레스토랑, ",경기 수원시 영통구 덕영대로 1566 (영통동) 2층 애슐리,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60279246&mj_stat=0&optgf=
애슐리 수원망포점,무관,"시급 7,530원","패밀리레스토랑, 레스토랑, ",경기 수원시 영통구 덕영대로 1566 (영통동) 2층 애슐리,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60194479&mj_stat=0&optgf=
디에스,여자,"월급 5,000,000원","바(bar), ",경기 화성시 진안동 874-7 4층,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60292677&mj_stat=0&optgf=
분짜라붐 수원영통점,무관,"월급 2,500,000원","서빙, 주방장·조리사, 매장관리·판매, ","경기 수원시 영통구 청명남로 25 (영통동) 103,207호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60201143&mj_stat=0&optgf=
㈜ H . K 컴 퍼 니,무관,"월급 2,500,000원","제조·가공·조립, 생산·건설·노무 기타, ",경기 수원시 권선구 덕영대로 1093 (세류동) 가림빌딩 902호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60259485&mj_stat=0&optgf=
HS (한산),여자,"월급 3,500,000원","바(bar), ","경기 화성시 동탄중심상가1길 31 (반송동, 광장타워) 404-1호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60243476&mj_stat=0&optgf=
영통 칸지고고,무관,"월급 2,300,000원","레스토랑, 서빙, ",경기 수원시 영통구 영통동 958-3 번지 하우스토리 101호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60232426&mj_stat=0&optgf=
TONY PC,무관,"시급 7,530원","PC방, ","경기 수원시 영통구 청명로 7 (영통동, 청명타운텔) 지하1층 TONY PC",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60163527&mj_stat=0&optgf=
휴먼스토리㈜,무관,"시급 9,800원","일반음식점, 주방장·조리사, 급식·푸드시스템, ",경기도 화성시 반월동,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60279812&mj_stat=0&optgf=
엠코드학원,무관,"시급 9,000원","입시·보습학원, 보조교사, ",경기 수원시 영통구 영통동 609호-614호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60246733&mj_stat=0&optgf=
스킨앤바디케어,여자,"월급 3,500,000원","피부관리·마사지, 서비스 기타, 피트니스·스포츠, ",경기 수원시 영통구 영통동 1009-6 매직프라자,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60290170&mj_stat=0&optgf=
못된고양이 영통역점,여자,"월급 2,000,000원","의류·잡화매장, 유통·판매 기타, ","경기 수원시 영통구 청명남로34번길 3 (영통동, 플래티넘빌딩) 106호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60265901&mj_stat=0&optgf=
큐브,여자,"월급 5,000,000원","바(bar), ","경기 수원시 영통구 매탄로100번길 29 (매탄동, 국제프라자) 6층 601호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60237798&mj_stat=0&optgf=
맘스터치 신영통점,무관,"시급 7,900원","패스트푸드점, 캐셔·카운터, 주방장·조리사, ","경기 수원시 영통구 영통로 136 (망포동, 센트럴타워) 107호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60280089&mj_stat=0&optgf=
㈜에이스컴퍼니,무관,"월급 2,800,000원","제조·가공·조립, 포장·품질검사, 생산·건설·노무 기타, ","경기 수원시 영통구 덕영대로 1520 (영통동, 망포역) 5번출구 도보 2분거리",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60280040&mj_stat=0&optgf=
더스타,여자,"월급 4,500,000원","바(bar), ","경기 수원시 영통구 청명남로 30 (영통동, 거성빌딩) 602호 더스타",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60278738&mj_stat=0&optgf=
헤어다이아,무관,"월급 2,200,000원","헤어·미용·네일샵, 매장관리·판매, 캐셔·카운터, ",경기 수원시 영통구 영통동 959-4 다모아프라자 2층 헤어다이아,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60278525&mj_stat=0&optgf=
롯데홈쇼핑(월500만원/초보가능),무관,"월급 5,000,000원","택배·퀵서비스, 제조·가공·조립, 대리운전·일반운전, ",경기도 수원시 영통구 근무자 거주지 인근배치,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60267243&mj_stat=0&optgf=
BAR-NANA,여자,"시급 30,000원","바(bar), ",경기 화성시 역골로49번길 13-1 (남양리) 102호 BAR NANA,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60258151&mj_stat=0&optgf=
월190만원/삼성전자프로젝트/영어사용가능자,무관,"월급 1,900,000원","외국어·어학원, 문서작성·자료조사, 사무보조, ","경기 수원시 영통구 덕영대로1556번길 16 (영통동, 디지털엠파이어빌딩) 삼성전자 PJT",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60139585&mj_stat=0&optgf=
연안식당 영통역점,무관,"월급 2,200,000원","일반음식점, 서빙, 주방보조·설거지, ","경기 수원시 영통구 봉영로 1590 (영통동, 밀레니엄프라자) 119호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60268568&mj_stat=0&optgf=
아제커뮤니케이션,여자,"일급 100,000원","유통점·마트, 판촉도우미, ","경기 수원시 영통구 봉영로 1576 (영통동, 영통홈플러스) 홈플러스 가전매장",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60267132&mj_stat=0&optgf=
크린서비스,무관,"월급 2,000,000원","보안·경비·경호, ","경기 수원시 영통구 봉영로 1620 (영통동, 대우월드마크영통)",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60266511&mj_stat=0&optgf=
㈜리스펙에스씨,무관,"월급 1,830,000원","매장관리·판매, 의류·잡화매장, ","경기 수원시 영통구 봉영로 1617 (영통동, 훼미리타워) 958-2   1층STCO",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60259920&mj_stat=0&optgf=
커피빈코리아(본사정규직),무관,"월급 1,430,000원","커피전문점, 바리스타, 베이커리·도넛·떡, ","경기 수원시 영통구 봉영로 1560 (영통동, 영통역) / 거주지인근 커피빈코리아 매장 발령[수도권 전역 매장]",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60254956&mj_stat=0&optgf=
뷰 (모던bar),여자,"월급 3,200,000원","바(bar), ","경기 수원시 영통구 청명남로 32 (영통동, 월드프라자)401호 뷰",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60237018&mj_stat=0&optgf=
큐브,여자,"월급 5,000,000원","바(bar), ","경기 수원시 영통구 매탄로100번길 29 (매탄동, 국제프라자) 6층 601호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60147409&mj_stat=0&optgf=
애슐리 수원망포점,무관,"시급 7,530원","패밀리레스토랑, 레스토랑, ",경기 수원시 영통구 덕영대로 1566 (영통동) 2층 애슐리,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60279246&mj_stat=0&optgf=
애슐리 수원망포점,무관,"시급 7,530원","패밀리레스토랑, 레스토랑, ",경기 수원시 영통구 덕영대로 1566 (영통동) 2층 애슐리,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60194479&mj_stat=0&optgf=
디에스,여자,"월급 5,000,000원","바(bar), ",경기 화성시 진안동 874-7 4층,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60292677&mj_stat=0&optgf=
애슐리 수원망포점,무관,"시급 7,530원","패밀리레스토랑, ",경기 수원시 영통구 덕영대로 1566 (영통동) 판타지움 2층 애슐리,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60226827&mj_stat=0&optgf=
자연별곡 망포점,무관,"시급 7,530원","레스토랑, 패밀리레스토랑, 서빙, ",경기 수원시 영통구 덕영대로 1566 (영통동) 더판타지움 2층 자연별곡,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60286971&mj_stat=0&optgf=
이마트에브리데이,남자,"일급 85,000원","입출고·창고관리, 유통점·마트, ","경기 화성시 동탄대로시범길 134 (청계동, 시범반도유보라아이비파크4.0) 이마트에브리데이 동탄카림점",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60286701&mj_stat=0&optgf=
뚜레쥬르 카페수원망포점,여자,"시급 7,530원","패밀리레스토랑, 베이커리·도넛·떡, 커피전문점, ","경기 수원시 영통구 태장로 73 (망포동, 정석 그린프라자) 정석그린프라자 1층",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60203327&mj_stat=0&optgf=
비어홀,여자,"시급 8,500원","호프·일반주점, ",경기 수원시 영통구 영통로214번길 47 (영통동) 2층 비어홀,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60285863&mj_stat=0&optgf=
주식회사 제이와이코리아,무관,"월급 2,400,000원","제조·가공·조립, 포장·품질검사, 입출고·창고관리, ",경기 용인시 기흥구 상갈동 246-6,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60275649&mj_stat=0&optgf=
마크짐 휘트니스,무관,"월급 1,500,000원","매장관리·판매, ","경기 수원시 영통구 봉영로 1617 (영통동, 훼미리타워) 지하1층 마크짐휘트니스",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60233442&mj_stat=0&optgf=
HS (한산),여자,"월급 3,500,000원","바(bar), ","경기 화성시 동탄중심상가1길 31 (반송동, 광장타워) 404-1호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60243467&mj_stat=0&optgf=
친절한 아이오스,무관,"일급 90,000원","입출고·창고관리, 상하차·소화물 분류, 택배·퀵서비스, ",경기 광주시 산수로 642-70 (신월리) CJ대한통운 광주 메가허브 터미널,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60215762&mj_stat=0&optgf=
칠성포차수원영통점,무관,"시급 8,000원","호프·일반주점, 서빙, ","경기 수원시 영통구 청명남로 31 (영통동, 키라레스토아) 210,211호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60274799&mj_stat=0&optgf=
복지재단 기빙플러스 판매사원 채용/신입가능,무관,"월급 1,700,000원","유통점·마트, 매장관리·판매, 캐셔·카운터, ",경기도 수원시 영통구 영통동 1069,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60232473&mj_stat=0&optgf=
교원 구몬,무관,"월급 2,500,000원","방문·학습지, 보조교사, 유아·유치원, ",경기 수원시 영통구 영통동 959-1 모던타운 6층 구몬학습,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60086843&mj_stat=0&optgf=
미소곱창 세번째,무관,"월급 2,300,000원","일반음식점, 서빙, 주방장·조리사, ","경기 수원시 영통구 매영로 416 (영통동, 행림빌딩) 미소곱창 세번째",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60274418&mj_stat=0&optgf=
VIPS 영통점 (주휴수당포함 9040원),무관,"시급 9,040원","패밀리레스토랑, 서빙, ",경기 수원시 영통구 망포동 27-1번지 빕스영통점,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60273811&mj_stat=0&optgf=
VIPS 영통점 (주휴수당포함 9040원),무관,"시급 9,040원","패밀리레스토랑, 서빙, ",경기 수원시 영통구 망포동 27-1번지 빕스영통점,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60273793&mj_stat=0&optgf=
VIPS 영통점 (주휴수당포함 9040원),무관,"시급 9,040원","패밀리레스토랑, 서빙, ",경기 수원시 영통구 망포동 27-1번지 빕스영통점,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60273801&mj_stat=0&optgf=
VIPS 영통점 (주휴수당포함 9040원),무관,"시급 9,040원","패밀리레스토랑, 서빙, ",경기 수원시 영통구 망포동 27-1번지 빕스영통점,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60273782&mj_stat=0&optgf=
노랑통닭,남자,"시급 12,000원","치킨·피자전문점, ",경기 수원시 영통구 망포동 386 110호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60272811&mj_stat=0&optgf=
하시,무관,"시급 8,500원","일반음식점, 호프·일반주점, 주방보조·설거지, ","경기 수원시 영통구 영통로214번길 41 (영통동, 토야 플라자) 1층 107호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60272086&mj_stat=0&optgf=
37도씨,남자,"월급 2,000,000원","바(bar), ",경기 수원시 팔달구 인계동 1031-3 혜연빌딩 2층,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60271996&mj_stat=0&optgf=
커피볶는 남자들,무관,"시급 7,530원","커피전문점, ",경기 수원시 영통구 인계로 284 (매탄동) 1층 커피볶는 남자들,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60271807&mj_stat=0&optgf=
펀비어킹,무관,"시급 8,000원","호프·일반주점, 일반음식점, ",경기 수원시 영통구 망포동 387,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60271059&mj_stat=0&optgf=
에이블어학원,무관,"시급 7,530원","사무보조, 외국어·어학원, 비서, ",경기 수원시 영통구 영통동 979-2번지 늘푸른빌딩 8층 에이블 어학원,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60270909&mj_stat=0&optgf=
도미노피자 영통점,무관,"시급 9,500원","배달, 패스트푸드점, 치킨·피자전문점, ",경기 수원시 영통구 영통동 1045-7,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60270828&mj_stat=0&optgf=
골드,여자,"월급 5,000,000원","바(bar), ",경기 수원시 팔달구 권광로187번길 38,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60270653&mj_stat=0&optgf=
해신,무관,"시급 8,000원","호프·일반주점, 서빙, 서비스 기타, ",경기 수원시 영통구 영통동 청명남로34번길 테라스가든상가 2층,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60269062&mj_stat=0&optgf=
맘스터치 영통1호점,무관,"시급 7,530원","패스트푸드점, ","경기 수원시 영통구 덕영대로1555번길 13 (영통동, 세일빌딩) 1층 101호,102호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60268631&mj_stat=0&optgf=
치요 망포점,무관,"월급 2,700,000원","호프·일반주점, 서빙, 주방장·조리사, ","경기 수원시 영통구 영통로214번길 17 (영통동, ASK빌딩) 2층",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60268057&mj_stat=0&optgf=
주식회사 희원,무관,"시급 13,000원","전단지배포, ","경기 성남시 분당구 성남대로 381 (정자동, 폴라리스빌딩) 304호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60267611&mj_stat=0&optgf=
이티아이티지교육그룹,무관,"연봉 26,000,000원","스터디룸·독서실·고시원, 사무보조, ",경기 수원시 영통구 반달로 105 (영통동) 영통플라자 3층,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60267436&mj_stat=0&optgf=
테트리스 찜닭 흥덕점,무관,"시급 8,000원","일반음식점, ",경기 용인시 기흥구 영덕동 994-7. 103호,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60266711&mj_stat=0&optgf=
S바디워크필라테스영통점,무관,"시급 9,000원","전단지배포, ","경기 수원시 영통구 반달로7번길 16 (영통동, e-폴리스) 706호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60266380&mj_stat=0&optgf=
어학원,무관,"시급 10,000원","외국어·어학원, ",경기 수원시 영통구 봉영로 1761 (영통동) 6층,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60265936&mj_stat=0&optgf=
트리탑스과학전문학원,무관,"시급 16,000원","입시·보습학원, 교육·강사 기타, 보조교사, ",경기 수원시 영통구 영통동 998-6 아셈프라자 6층,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60265783&mj_stat=0&optgf=
엘카스터디,여자,"시급 8,000원","외국어·어학원, 보조교사, 교육·강사 기타, ",경기 수원시 영통구 영통로 507 (영통동) 5층 엘카스터디,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60265194&mj_stat=0&optgf=
아웃백 스테이크하우스 수원 영통점,무관,"시급 9,050원","패밀리레스토랑, ","경기 수원시 영통구 봉영로 1613 (영통동, 영통하우스토리) B1F 아웃백 스테이크 하우스 영통점",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60263737&mj_stat=0&optgf=
카인드짐 망포점,무관,"월급 1,000,000원","피트니스·스포츠, 피트니스 트레이너, 예체능 강사, ","경기 수원시 영통구 영통로 136 (망포동, 센트럴타워) 4층 407호",http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60263055&mj_stat=0&optgf=
트렌드코리아,남자,"시급 8,000원","포장·품질검사, 쇼핑몰·소셜커머스·홈쇼핑, ",경기 수원시 영통구 망포동 5-27번지 썬테크노빌 건물1층 101호 트렌드코리아,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60262239&mj_stat=0&optgf=
GS25,무관,"시급 7,530원","편의점, 매장관리·판매, ",영통구영통로513 gs25 황골주공점,http://www.albamon.com/list/gi/mon_gib_read.asp?AL_GI_No=60262149&mj_stat=0&optgf=
